x_value,total_1,total_2
675,453770,309742
676,448275,307631
677,452826,313259
678,448967,316101
679,451687,316549
680,459027,313082
681,465426,315913
682,471627,313755
683,469828,316279
684,472300,320393
685,474090,325665
686,477027,329420
687,482353,333503
688,488972,332099
689,487566,333003
690,488113,337141
691,495021,332211
692,495655,338165
693,496628,341383
694,504519,337040
695,501667,341482
696,498789,347181
697,503682,345731
698,501002,343040
699,502224,342904
700,499110,340912
701,504803,343866
702,503459,348577
703,503586,350452
704,500724,349526
705,499236,351141
706,503468,353747
707,508711,353256
708,505067,355615
709,508573,355851
710,511109,356163
711,513118,359948
712,511728,364906
713,509260,359988
714,507214,356408
715,515053,351897
716,519882,354531
717,518682,354790
718,516930,351912
719,519900,357129
720,521466,360042
721,518232,363773
722,513450,367972
723,508577,373251
724,516275,373363
725,520593,372965
726,526783,378294
727,532766,379929
728,528703,375922
729,523273,371611
730,523972,370597
731,528548,366434
732,533548,370405
733,530141,371372
734,533537,370165
735,528406,373220
736,532790,375409
737,538726,373047
738,542492,371722
739,550134,375774
740,549084,374209
741,543498,372079
742,541508,369999
743,537307,374204
744,540613,379339
745,544328,381078
746,552124,377478
747,559775,381428
748,561845,378510
749,561826,375526
750,560718,372455
751,556453,374651
752,554361,373282
753,549434,369811
754,543496,371473
755,542249,369126
756,539357,375114
757,537580,373147
758,532972,376061
759,528832,372669
760,533411,370930
761,537640,368056
762,539828,372203
763,542302,371166
764,549007,372068
765,552492,377018
766,558268,382418
767,556993,384672
768,556655,389405
769,557501,393689
770,562389,397401
771,563381,397282
772,561768,401247
773,559723,401408
774,558271,398030
775,561982,401633
776,558167,406235
777,564109,404127
778,567407,409892
779,574254,411764
780,568483,413228
781,572836,415186
782,576029,418159
783,580831,421154
784,578163,418539
785,584446,424014
786,579578,421291
787,586333,423357
788,593936,419606
789,593539,417878
790,597041,420086
791,600196,425694
792,600209,427715
793,600026,425167
794,594548,421001
795,601736,422249
796,602408,422758
797,599657,424154
798,600101,425002
799,601277,421624
800,596996,420462
801,595666,426152
802,596807,429294
803,601022,425176
804,598532,423613
805,602782,424950
806,610406,426896
807,615507,425660
808,611814,426252
809,613455,432044
810,608846,434125
811,609007,433767
812,607449,429338
813,605597,427211
814,607124,423499
815,610877,418596
816,605086,418102
817,610989,415538
818,613582,411226
819,612145,410158
820,616885,413142
821,614011,408638
822,612139,412044
823,606301,413464
824,613614,412043
825,608731,408037
826,615927,409555
827,610174,412213
828,616537,415074
829,613104,420304
830,611672,424182
831,617865,426497
832,613908,430351
833,610909,427417
834,612033,427388
835,607372,430592
836,608623,429503
837,604555,427530
838,603913,426158
839,611322,428033
840,607621,430985
841,614771,428646
842,621827,432145
843,624957,427182
844,624875,426141
845,624999,422578
846,628041,419725
847,629474,418781
848,634138,418306
849,628154,421736
850,630314,417326
851,630674,415888
852,628334,415368
853,629560,419584
854,634490,417933
855,638322,417896
856,644568,413861
857,651692,413680
858,646557,411441
859,651381,406521
860,657796,403700
861,661923,404295
862,662225,405074
863,661971,406393
864,664684,403516
865,667198,401071
866,672552,398996
867,676142,399920
868,683419,399051
869,690542,398022
870,692697,394593
871,698385,397009
872,697978,398155
873,705150,400377
874,703479,399054
875,698288,396584
876,705455,394174
877,705343,393130
878,705993,393497
879,713434,392928
880,710379,393864
881,710065,399220
882,706446,403012
883,714206,403920
884,719271,407587
885,718906,407483
886,713534,403954
887,719519,409664
888,716923,414329
889,717232,417893
890,711957,420240
891,706688,425562
892,700728,420622
893,708583,418885
894,712444,414051
895,709310,418539
896,716172,414596
897,714402,414557
898,709339,412255
899,715991,417250
900,711698,419291
901,714239,416175
902,715661,419612
903,719205,423918
904,717492,428631
905,719198,427516
906,721949,424696
907,728110,422042
908,728588,422708
909,725475,424324
910,721303,419942
911,724272,422393
912,721489,421773
913,722252,426653
914,728120,423212
915,735058,428590
916,738894,431608
917,738392,429038
918,736616,428707
919,736501,424242
920,744137,423866
921,741130,428416
922,745982,428533
923,753443,424654
924,759228,420846
925,754422,423880
926,756491,422011
927,754404,417480
928,750599,415026
929,754766,417946
930,762383,413733
931,758295,417180
932,757517,418240
933,757188,422800
934,755881,428499
935,756446,424588
936,764243,425838
937,763862,429170
938,759714,427111
939,760057,422742
940,764215,427094
941,760377,427497
942,759429,424600
943,763078,427967
944,757868,429705
945,757502,427326
946,751737,425878
947,747188,423968
948,742985,427852
949,741466,433080
950,746887,434791
951,749032,431903
952,743897,426944
953,738785,425106
954,734149,420468
955,734405,420671
956,729046,419330
957,736150,415992
958,737859,411938
959,733610,417207
960,731844,420362
961,739047,415797
962,736073,413270
963,740897,410448
964,741604,413528
965,738553,412227
966,732740,407663
967,740577,402950
968,741948,400749
969,736909,400454
970,744108,401850
971,744204,403731
972,743559,400236
973,747282,399998
974,752309,405535
975,750733,410242
976,752606,411859
977,759494,415750
978,760619,417325
979,763800,421344
980,767561,416679
981,774971,419021
982,777407,421142
983,772864,426005
984,776972,428501
985,780529,431628
986,780831,430516
987,775438,432896
988,772960,432708
989,773503,428818
990,770909,429300
991,766526,428923
992,766754,424831
993,765546,421729
994,773249,426200
995,772159,431254
996,774353,430638
997,770250,429996
998,775492,427982
999,779131,430827
1000,779679,434655
1001,779635,438423
1002,785600,435461
1003,782424,432670
1004,785040,432546
1005,780860,430550
1006,782333,433440
1007,786472,438873
1008,788688,442300
1009,792059,445621
1010,794920,446038
1011,802768,450098
1012,799372,451772
1013,807275,453485
1014,811364,451029
1015,815849,452698
1016,810809,449327
1017,805971,451470
1018,802896,452119
1019,802439,453234
1020,806815,448252
1021,813491,453966
1022,812411,459669
1023,818845,460973
1024,813803,458278
1025,814531,460846
1026,810798,461611
1027,816851,462971
1028,813116,466396
1029,810372,462616
1030,814341,467384
1031,808437,466889
1032,813753,470764
1033,819488,475862
1034,817728,475602
1035,815862,475548
1036,811214,481198
1037,811692,481379
1038,810262,482347
1039,805778,486105
1040,801609,484837
1041,803513,480836
1042,808988,481355
1043,814258,482306
1044,808730,485199
1045,803331,480498
1046,810898,486170
1047,813917,489202
1048,808991,492098
1049,807564,492502
1050,810349,495741
1051,813284,497574
1052,809680,502253
1053,810330,502102
1054,817545,506179
1055,814860,505842
1056,817705,510322
1057,820349,515707
1058,815934,513147
1059,815774,513175
1060,816465,512144
1061,816639,515573
1062,818170,513083
1063,815172,517244
1064,813369,513724
1065,817136,516856
1066,814148,514810
1067,809637,518456
1068,809161,514831
1069,808191,520448
1070,813200,521064
1071,817080,519413
1072,813423,522752
1073,816086,527467
1074,823755,531127
1075,822176,534813
1076,818076,539816
1077,822326,537473
1078,822112,533950
1079,819631,529568
1080,815012,535002
1081,816570,531434
1082,821712,527981
1083,822856,531298
1084,823756,532524
1085,827607,538008
1086,833693,536284
1087,831497,535371
1088,837025,534154
1089,832602,534266
1090,839747,531042
1091,847707,535814
1092,854435,534836
1093,861477,534840
1094,855931,534180
1095,855111,532581
1096,856919,528298
1097,862904,524609
1098,860253,521220
1099,865804,523521
1100,862016,527579
1101,863607,532275
1102,870585,528922
1103,868201,533839
1104,864776,532175
1105,870891,527620
1106,876573,527010
1107,872334,524680
1108,872688,527006
1109,867673,528566
1110,863056,530225
1111,859545,526667
1112,864430,530775
1113,859721,529217
1114,860754,528036
1115,865758,533478
1116,861128,538549
1117,860573,540336
1118,856530,545947
1119,853360,547719
1120,851504,548716
1121,858704,549916
1122,862810,554523
1123,858647,556878
1124,860720,552481
1125,862909,550262
1126,866581,551927
1127,871377,557433
1128,866482,552692
1129,869233,550049
1130,871418,556031
1131,866930,554405
1132,872519,550074
1133,873306,555096
1134,877692,555352
1135,884150,555529
1136,884079,555320
1137,887711,558062
1138,884319,557523
1139,884160,562441
1140,891972,561580
1141,886533,565051
1142,881932,562554
1143,883544,562025
1144,881536,561728
1145,889087,566267
1146,886161,565710
1147,885257,567960
1148,889764,563624
1149,892656,564627
1150,886887,568443
1151,886065,573542
1152,892515,568626
1153,889653,566175
1154,884082,566119
1155,882593,564058
1156,879395,569627
1157,879893,567535
1158,874494,571599
1159,869842,568397
1160,864895,565559
1161,861362,567793
1162,858700,566714
1163,853065,571459
1164,857820,567349
1165,853503,570345
1166,851255,575546
1167,859218,577544
1168,861782,578182
1169,856961,582513
1170,858191,583773
1171,864786,585598
1172,864231,587509
1173,872159,584764
1174,870086,587651
1175,874324,584850
1176,875180,582157
1177,878797,581604
1178,885960,581332
1179,893056,584324
1180,888317,582701
1181,886404,580578
1182,890266,582859
1183,898193,579524
1184,894433,582837
1185,896938,583747
1186,895825,584440
1187,898429,588798
1188,902019,583905
1189,896744,582081
1190,903672,579573
1191,898288,581593
1192,892366,581841
1193,889517,578033
1194,887982,578178
1195,884961,579471
1196,888750,582467
1197,889353,577841
1198,886479,583744
1199,883865,579177
1200,883420,584694
1201,886087,590154
1202,885325,591912
1203,891158,596631
1204,895717,599758
1205,898144,597987
1206,898939,597513
1207,901050,601589
1208,908970,598023
1209,906473,601176
1210,901772,604510
1211,908921,603279
1212,914267,608693
1213,915691,605919
1214,918729,604306
1215,915364,600872
1216,913370,601772
1217,909195,601807
1218,904583,605709
1219,907878,605907
1220,908333,603836
1221,906649,607012
1222,901056,606680
1223,896274,603352
1224,903801,598405
1225,905868,602941
1226,907729,602903
1227,911148,599687
1228,906869,596333
1229,903916,592225
1230,911264,590893
1231,909697,594556
1232,916285,599290
1233,921851,600730
1234,923004,605128
1235,929578,607447
1236,933325,610979
1237,933080,607962
1238,931237,605863
1239,928911,605773
1240,931819,600873
1241,930244,606264
1242,928934,602697
1243,925822,607761
1244,920647,611454
1245,923354,617215
1246,927718,622421
1247,922039,618966
1248,923692,619247
1249,918228,617000
1250,913182,616547
1251,908087,619825
1252,915940,619510
1253,919750,623533
1254,922472,629424
1255,923304,627064
1256,927841,628293
1257,935429,624138
1258,936486,620572
1259,939523,624930
1260,938649,627436
1261,945253,630797
1262,943127,629025
1263,939166,632658
1264,944103,628152
1265,947618,625422
1266,946677,621823
1267,949588,619165
1268,946921,616623
1269,954859,614414
1270,949490,620349
1271,944373,618919
1272,940779,616947
1273,945821,619395
1274,949960,619530
1275,955404,616819
1276,952145,622350
1277,950409,619405
1278,957708,619480
1279,957240,620439
1280,951563,617569
1281,954957,616458
1282,953393,613668
1283,958825,613536
1284,958467,617409
1285,956091,622596
1286,950975,627560
1287,954892,628953
1288,957743,624470
1289,957393,621359
1290,964229,618510
1291,970645,618184
1292,966707,622456
1293,966936,627020
1294,962379,623125
1295,960608,624684
1296,968308,626272
1297,968069,626315
1298,974303,630630
1299,969314,628934
1300,968714,632071
1301,969855,628550
1302,974621,633917
1303,982035,629864
1304,987033,624979
1305,984742,629825
1306,982093,631175
1307,978681,636493
1308,975547,641472
1309,972738,640275
1310,975280,644870
1311,969986,643061
1312,966887,638703
1313,964696,634455
1314,967543,640404
1315,974107,644778
1316,968211,642927
1317,962233,645844
1318,965566,645007
1319,971150,650710
1320,974826,656487
1321,969518,654437
1322,974101,657528
1323,981084,659936
1324,982816,658263
1325,981261,659075
1326,978213,659878
1327,986051,664806
1328,980142,662674
1329,987888,666473
1330,989462,670126
1331,984861,671830
1332,984021,671126
1333,990020,671150
1334,989100,675595
1335,993948,674536
1336,994821,676805
1337,998384,677425
1338,997165,673165
1339,997180,668673
1340,996794,668598
1341,993973,667726
1342,1001905,671252
1343,1002927,668246
1344,1003892,664101
1345,1006281,669452
1346,1012355,674502
1347,1018319,669595
1348,1019837,664769
1349,1027579,665741
1350,1024814,668660
1351,1024384,668415
1352,1019108,670823
1353,1021498,672363
1354,1026221,675062
1355,1028059,675123
1356,1024286,672238
1357,1025058,674869
1358,1028978,670099
1359,1025869,673503
1360,1027814,674640
1361,1032892,673267
1362,1037616,672134
1363,1043610,667293
1364,1042090,663571
1365,1043673,668866
1366,1045833,674160
1367,1051264,673194
1368,1048293,670915
1369,1044000,672283
1370,1051289,675525
1371,1051463,671757
1372,1058800,667737
1373,1055548,669779
1374,1052992,672883
1375,1058374,675224
1376,1061234,681040
1377,1059294,683693
1378,1066264,687272
1379,1069700,691443
1380,1064356,689649
1381,1070692,691970
1382,1076042,688314
1383,1081322,685992
1384,1080060,688530
1385,1085376,693868
1386,1079652,693490
1387,1075939,695583
1388,1082633,692364
1389,1084764,693704
1390,1084761,694221
1391,1089446,697972
1392,1090061,699568
1393,1085981,704146
1394,1084755,709676
1395,1091593,710736
1396,1096244,714582
1397,1097638,718592
1398,1101557,721518
1399,1096246,717689
1400,1096662,715141
1401,1101339,714909
1402,1099242,716656
1403,1099168,722077
1404,1102665,718865
1405,1104776,714077
1406,1110617,716129
1407,1106819,719117
1408,1102188,717850
1409,1098299,715114
1410,1095791,714693
1411,1103000,719938
1412,1101522,717787
1413,1102978,713015
1414,1106369,718016
1415,1108454,714686
1416,1113918,716184
1417,1116081,713923
1418,1122355,711239
1419,1123321,715397
1420,1130156,718292
1421,1131381,716209
1422,1135352,712349
1423,1131192,713537
1424,1126625,716519
1425,1131014,714250
1426,1127645,712420
1427,1132561,713359
1428,1131626,714814
1429,1132060,720297
1430,1132620,722997
1431,1131486,719815
1432,1134782,722021
1433,1135903,723245
1434,1137610,721051
1435,1132883,717381
1436,1127394,719383
1437,1132081,720475
1438,1126919,722672
1439,1131870,728524
1440,1131994,730640
1441,1137005,729846
1442,1137886,735547
1443,1144543,740869
1444,1143028,739363
1445,1145186,743965
1446,1143243,743998
1447,1151198,740500
1448,1149180,736877
1449,1154085,732226
1450,1160738,727622
1451,1158845,728791
1452,1160913,731138
1453,1162992,733452
1454,1167781,729989
1455,1162085,732247
1456,1161905,733219
1457,1166054,731134
1458,1162878,736456
1459,1159356,741688
1460,1158339,737512
1461,1155293,739052
1462,1154787,736433
1463,1156007,732317
1464,1155627,727849
1465,1160856,732123
1466,1163104,733981
1467,1160767,736614
1468,1166553,737651
1469,1164794,738928
1470,1172033,743544
1471,1172057,746438
1472,1178206,748304
1473,1179700,753045
1474,1178579,757894
1475,1175876,755582
1476,1183170,751019
1477,1185977,751346
1478,1180966,753307
1479,1188745,753012
1480,1183650,750279
1481,1183647,746795
1482,1189033,746187
1483,1186936,742687
1484,1193669,743600
1485,1192362,747108
1486,1197384,742490
1487,1203024,742419
1488,1197194,741264
1489,1194875,744592
1490,1194007,745465
1491,1190871,743713
1492,1191572,744929
1493,1190349,748314
1494,1189230,752911
1495,1187950,751657
1496,1184586,754675
1497,1182177,752656
1498,1176547,751163
1499,1174203,748577
1500,1181257,751558
1501,1182681,752120
1502,1183850,752540
1503,1177864,753200
1504,1178723,750793
1505,1179675,746176
1506,1184435,741895
1507,1191530,742523
1508,1199036,741537
1509,1201579,736965
1510,1198498,736518
1511,1195199,740789
1512,1201617,743731
1513,1204485,748717
1514,1199608,746911
1515,1195404,742508
1516,1189424,748139
1517,1195537,745083
1518,1197368,740122
1519,1202746,742139
1520,1208038,744483
1521,1208309,750330
1522,1203602,746994
1523,1203830,742977
1524,1202904,748662
1525,1208793,745367
1526,1214708,744360
1527,1209780,747106
1528,1206698,746709
1529,1209754,748910
1530,1204279,748906
1531,1211382,747367
1532,1219093,745680
1533,1215963,750547
1534,1214210,746282
1535,1211028,747662
1536,1217100,743056
1537,1213042,743380
1538,1213966,747133
1539,1214922,745255
1540,1214399,748772
1541,1209255,753087
1542,1210498,757336
1543,1210335,754911
1544,1214753,758641
1545,1222245,760326
1546,1222199,755810
1547,1221401,757012
1548,1228821,757788
1549,1232755,753538
1550,1232066,751076
1551,1227616,747542
1552,1226907,748242
1553,1223009,752275
1554,1224707,747725
1555,1229330,744368
1556,1226343,749045
1557,1222154,752256
1558,1216886,753732
1559,1224058,750073
1560,1224766,747659
1561,1232128,753326
1562,1229201,754813
1563,1230134,756354
1564,1231492,760955
1565,1231598,756900
1566,1228340,759203
1567,1230487,761453
1568,1231563,766240
1569,1234256,769739
1570,1228748,765806
1571,1230287,765899
1572,1232035,764313
1573,1237960,764092
1574,1244455,765874
1575,1242202,761222
1576,1236411,757419
1577,1243729,757865
1578,1238110,762783
1579,1233287,765196
1580,1230830,764307
1581,1229222,763810
1582,1227249,765606
1583,1222895,771400
1584,1217383,769497
1585,1212093,774191
1586,1217852,774240
1587,1214673,775660
1588,1222478,775499
1589,1216594,778218
1590,1219033,775649
1591,1221611,775335
1592,1223979,771796
1593,1229884,771851
1594,1226083,768567
1595,1226751,773926
1596,1221951,771034
1597,1221906,774484
1598,1228365,776945
1599,1231350,778253
1600,1231513,777539
1601,1236614,781795
1602,1241340,781944
1603,1237526,787424
1604,1231935,786453
1605,1231429,788040
1606,1230389,790167
1607,1235947,788573
1608,1236171,790685
1609,1241938,795727
1610,1240186,795803
1611,1236930,793945
1612,1244787,799497
1613,1250649,797265
1614,1254087,796187
1615,1257611,799385
1616,1263487,799631
1617,1259619,797458
1618,1259373,795139
1619,1263784,796015
1620,1267003,792153
1621,1262660,795149
1622,1269759,796738
1623,1269137,799739
1624,1274887,796792
1625,1270396,792961
1626,1265207,788486
